object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.546552438Z level=info msg="Executing migration" id="Update alert_notification table charset"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.54659824Z level=info msg="Migration successfully executed" id="Update alert_notification table charset" duration=48.902µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.54974256Z level=info msg="Executing migration" id="create notification_journal table v1"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.550419086Z level=info msg="Migration successfully executed" id="create notification_journal table v1" duration=676.526µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.553804915Z level=info msg="Executing migration" id="add index notification_journal org_id & alert_id & notifier_id"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.554424339Z level=info msg="Migration successfully executed" id="add index notification_journal org_id & alert_id & notifier_id" duration=620.324µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.557702464Z level=info msg="Executing migration" id="drop alert_notification_journal"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.558263785Z level=info msg="Migration successfully executed" id="drop alert_notification_journal" duration=563.221µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.567694046Z level=info msg="Executing migration" id="create alert_notification_state table v1"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.56832107Z level=info msg="Migration successfully executed" id="create alert_notification_state table v1" duration=630.025µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.571850704Z level=info msg="Executing migration" id="add index alert_notification_state org_id & alert_id & notifier_id"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.572475528Z level=info msg="Migration successfully executed" id="add index alert_notification_state org_id & alert_id & notifier_id" duration=627.524µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.576369077Z level=info msg="Executing migration" id="Add for to alert table"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.578424756Z level=info msg="Migration successfully executed" id="Add for to alert table" duration=2.056178ms  
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.582250602Z level=info msg="Executing migration" id="Add column uid in alert_notification"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.58430128Z level=info msg="Migration successfully executed" id="Add column uid in alert_notification" duration=2.051678ms
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.58795212Z level=info msg="Executing migration" id="Update uid column values in alert_notification"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.588114826Z level=info msg="Migration successfully executed" id="Update uid column values in alert_notification" duration=165.107µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.597617289Z level=info msg="Executing migration" id="Add unique index alert_notification_org_id_uid"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.598446721Z level=info msg="Migration successfully executed" id="Add unique index alert_notification_org_id_uid" duration=831.231µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.602381671Z level=info msg="Executing migration" id="Remove unique index org_id_name"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.602961493Z level=info msg="Migration successfully executed" id="Remove unique index org_id_name" duration=581.522µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.606698136Z level=info msg="Executing migration" id="Add column secure_settings in alert_notification"        
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.608859418Z level=info msg="Migration successfully executed" id="Add column secure_settings in alert_notification" duration=2.162382ms
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.61230095Z level=info msg="Executing migration" id="alter alert.settings to mediumtext"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.612391553Z level=info msg="Migration successfully executed" id="alter alert.settings to mediumtext" duration=93.803µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.616060093Z level=info msg="Executing migration" id="Add non-unique index alert_notification_state_alert_id"  
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.616862324Z level=info msg="Migration successfully executed" id="Add non-unique index alert_notification_state_alert_id" duration=805.731µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.626763709Z level=info msg="Executing migration" id="Add non-unique index alert_rule_tag_alert_id"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.627517839Z level=info msg="Migration successfully executed" id="Add non-unique index alert_rule_tag_alert_id" duration=753.73µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.631387295Z level=info msg="Executing migration" id="Drop old annotation table v4"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.631550301Z level=info msg="Migration successfully executed" id="Drop old annotation table v4" duration=164.706µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.635138146Z level=info msg="Executing migration" id="create annotation table v5"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.635848374Z level=info msg="Migration successfully executed" id="create annotation table v5" duration=714.229µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.646075085Z level=info msg="Executing migration" id="add index annotation 0 v3"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.646751012Z level=info msg="Migration successfully executed" id="add index annotation 0 v3" duration=678.527µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.650508663Z level=info msg="Executing migration" id="add index annotation 1 v3"
